Original, Converted
'atyq, ʾatyq
'aven, ʾaven
'avon, ʾavon
'awah, ʾawah
'awal, ʾawal
'awar, ʾawar
'awat, ʾawat
'awel, ʾawel
'awen, ʾawen
'awlah, ʾawlah
'awon, ʾawon
'awyl, ʾawyl
'ay, ʾay
'ayab, ʾayab
'ayah, ʾayah
'ayal, ʾayal
'ayath, ʾayath
'ayeh, ʾayeh
'ayeph, ʾayeph
'ayil, ʾayil
'ayil-th, ʾayil-th
'ayin, ʾayin
'ayn, ʾayn
'aynym, ʾaynym
'ayth, ʾayth
'az, ʾaz
'azab, ʾazab
'azabown, ʾazabown
'azabownym, ʾazabownym
'azah, ʾazah
'azakarah, ʾazakarah
'azal, ʾazal
'azan, ʾazan
'azar, ʾazar
'azarah, ʾazarah
'azaz, ʾazaz
'aza'zel, ʾazaʿzel
'azen, ʾazen
'azur, ʾazur
'azuwz, ʾazuwz
'a'lah, ʾaʿlah
'e, ʾe
'ebah, ʾebah
'ebal, ʾebal
'ebed, ʾebed
'ebel, ʾebel
'eben, ʾeben
'ebenym, ʾebenym
'eber, ʾeber
'ebuws, ʾebuws
'ebyown, ʾebyown
'ebyownym, ʾebyownym
'echad, ʾechad
'ed, ʾed
'edah, ʾedah
'edayn, ʾedayn
'eden, ʾeden
'edeny, ʾedeny
'eder, ʾeder
'edon, ʾedon
'edony, ʾedony
'edowm, ʾedowm
'edown, ʾedown
'edownay, ʾedownay
'edowny, ʾedowny
'eduwth, ʾeduwth
'egabym, ʾegabym
'egel, ʾegel
'egelym, ʾegelym
'eglah, ʾeglah
'eglath, ʾeglath
'eh, ʾeh
'ehayah, ʾehayah
'ehuwd, ʾehuwd
'ek, ʾek
'ekah, ʾekah
'ekeh, ʾekeh
'ekes, ʾekes
'el-eh, ʾel-eh
'elah, ʾelah
'elam, ʾelam
'elamowth, ʾelamowth
'elamy, ʾelamy
'eldod, ʾeldod
'eleh, ʾeleh
'elehym, ʾelehym
'eleph, ʾeleph
'elephym, ʾelephym
'elgabys, ʾelgabys
'elgabysh, ʾelgabysh
'elleh, ʾelleh
'elohay, ʾelohay
'elohy, ʾelohy
'elohym, ʾelohym
'elowah, ʾelowah
'elowha, ʾelowha
'elown, ʾelown
'eloym, ʾeloym
'ely, ʾely
'elyah, ʾelyah
'elyahama', ʾelyahamaʿ
'elyl, ʾelyl
'elym, ʾelym
'elyon, ʾelyon
'elyown, ʾelyown
'elysha, ʾelysha
'elyshah, ʾelyshah
'elysha', ʾelyshaʿ
'ely'ab, ʾelyʿab
'ely'ezar, ʾelyʿezar
'em, ʾem
'emah, ʾemah
'emeq, ʾemeq
'emer, ʾemer
'emery, ʾemery
'emesh, ʾemesh
'emeth, ʾemeth
'emory, ʾemory
'emrah, ʾemrah
'emuwn, ʾemuwn
'emuwnah, ʾemuwnah
'enab, ʾenab
'enash, ʾenash
'enowsh, ʾenowsh
'eowlah, ʾeowlah
'epesh, ʾepesh
'ephah, ʾephah
'ephaph, ʾephaph
'epha', ʾephaʿ
'epheh, ʾepheh
'epher, ʾepher
'ephes, ʾephes
'ephowd, ʾephowd
'ephrath, ʾephrath
'ephrathah, ʾephrathah
'ephraym, ʾephraym
'eph'eh, ʾephʿeh
'eqeb, ʾeqeb
'eqrown, ʾeqrown
'erab, ʾerab
'ereb, ʾereb
'eres, ʾeres
'erets, ʾerets
'eretsowth, ʾeretsowth
'erez, ʾerez
'ermown, ʾermown
'erowm, ʾerowm
'erown, ʾerown
'erwah, ʾerwah
'eryah, ʾeryah
'esah, ʾesah
'esauw, ʾesauw
'esaw, ʾesaw
'esa'ow, ʾesaʿow
'eseb, ʾeseb
'eser, ʾeser
'eserah, ʾeserah
'esh, ʾesh
'eshah, ʾeshah
'esha', ʾeshaʿ
'eshdath, ʾeshdath
'esher, ʾesher
'eshkar, ʾeshkar
'eshkowl, ʾeshkowl
'eshnab, ʾeshnab
'esrah, ʾesrah
'esreh, ʾesreh
'esrym, ʾesrym
'esrymym, ʾesrymym
'et, ʾet
'eth, ʾeth
'etham, ʾetham
'ethba'al, ʾethbaʿal
'ethnan, ʾethnan
'ethow, ʾethow
'etnan, ʾetnan
'etsah, ʾetsah
'etsba', ʾetsbaʿ
'etseb, ʾetseb
'etsel, ʾetsel
'etsem, ʾetsem
'etsemowth, ʾetsemowth
'etser, ʾetser
'etsy, ʾetsy
'etsym, ʾetsym
'etuwn, ʾetuwn
'evel, ʾevel
'ewel, ʾewel
'ewyl, ʾewyl
'ey, ʾey
'eyal, ʾeyal
'eybah, ʾeybah
'eyd, ʾeyd
'eykah, ʾeykah
'eylam, ʾeylam
'eymah, ʾeymah
'eymatan, ʾeymatan
'eyn, ʾeyn
'eyn-dowr, ʾeyn-dowr
'eyngedy, ʾeyngedy
'eynown, ʾeynown
'eyphah, ʾeyphah
'eyrom, ʾeyrom
'eyrowm, ʾeyrowm
'eythan, ʾeythan
'ez, ʾez
'ezer, ʾezer
'ezowb, ʾezowb
'ezowr, ʾezowr
'ezrach, ʾezrach
'ezrachy, ʾezrachy
'ezrah, ʾezrah
'ha, ʾha
'ibchah, ʾibchah
'ibry, ʾibry
'ibryym, ʾibryym
'idan, ʾidan
'idow, ʾidow
'igarah, ʾigarah
'igereth, ʾigereth
'ikar, ʾikar
'ilay, ʾilay
'ilem, ʾilem
'ilyn, ʾilyn
'imanuw'el, ʾimanuwʿel
'imanuw'el, ʾimanuwʿel
'imrah, ʾimrah
'inuwn, ʾinuwn
'iower, ʾiower
'iph, ʾiph
'iqashowth, ʾiqashowth
'iqesh, ʾiqesh
'iry, ʾiry
'isah, ʾisah
'isarown, ʾisarown
'ishah, ʾishah
'ishahym, ʾishahym
'isheh, ʾisheh
'ishown, ʾishown
'ishsah, ʾishsah
'ishym, ʾishym
'itsabown, ʾitsabown
'iweleth, ʾiweleth
'iwer, ʾiwer
'iwrown, ʾiwrown
'iy, ʾiy
'iyezebel, ʾiyezebel
'iyowb, ʾiyowb
'iyry, ʾiyry
'iyrym, ʾiyrym
'iysh, ʾiysh
'iyshown, ʾiyshown
'iyshum, ʾiyshum
'iyshy, ʾiyshy
'iyshym, ʾiyshym
'iythy'el, ʾiythyʿel
'iyym, ʾiyym
'iyzebel, ʾiyzebel
'izbownym, ʾizbownym
'izuwz, ʾizuwz
'o, ʾo
'oach, ʾoach
'obadyahuw, ʾobadyahuw
'odem, ʾodem
'odowth, ʾodowth
'oheb, ʾoheb
'ohel, ʾohel
'oholah, ʾoholah
'oholybah, ʾoholybah
'olah, ʾolah
'olam, ʾolam
'olelah, ʾolelah
'omed, ʾomed
'omer, ʾomer
'oneg, ʾoneg
'oniyah, ʾoniyah
'ony, ʾony
'onyah, ʾonyah
'opel, ʾopel
'opereth, ʾopereth
'oph, ʾoph
'ophan, ʾophan
'opheh, ʾopheh
'ophel, ʾophel
'ophesym, ʾophesym
'ophreth, ʾophreth
'orach, ʾorach
'orah, ʾorah
'oreb, ʾoreb
'orek, ʾorek
'osheq, ʾosheq
'osher, ʾosher
'otseb, ʾotseb
'otser, ʾotser
'ow, ʾow
'owb, ʾowb
'owd, ʾowd
'owdowth, ʾowdowth
'owen, ʾowen
'owg, ʾowg
'owlah, ʾowlah
'owlal, ʾowlal
'owlam, ʾowlam
'owlel, ʾowlel
'own, ʾown
'ownah, ʾownah
'owny, ʾowny
'owph, ʾowph
'owphan, ʾowphan
'owphanym, ʾowphanym
'owphereth, ʾowphereth
'owphyr, ʾowphyr
'owr, ʾowr
'owrah, ʾowrah
'owryah, ʾowryah
'owth, ʾowth
'owtsar, ʾowtsar
'owtsarowth, ʾowtsarowth
'owy, ʾowy
'owzen, ʾowzen
'oyeb, ʾoyeb
'ozen, ʾozen
'qidah, ʾqidah
'rets, ʾrets
'ri'shown, ʾriʿshown
'rysah, ʾrysah
'shagal, ʾshagal
'tayd, ʾtayd
'ugah, ʾugah
'ukal, ʾukal
'ulam, ʾulam
'ulpheh, ʾulpheh
'umah, ʾumah
'umnam, ʾumnam
'urym, ʾurym
'uw, ʾuw
'uwbal, ʾuwbal
'uwd, ʾuwd
'uwl, ʾuwl
'uwlam, ʾuwlam
'uwlay, ʾuwlay
'uwly, ʾuwly
'uwpaz, ʾuwpaz
'uwph, ʾuwph
'uwr, ʾuwr
'uwryah, ʾuwryah
'uwsh, ʾuwsh
'uwth, ʾuwth
'uwts, ʾuwts
'uwz, ʾuwz
'uwzal, ʾuwzal
'uw'ah, ʾuwʿah
'uzyah, ʾuzyah
'uzyahuw, ʾuzyahuw
'y, ʾy
'ym, ʾym
'yphah, ʾyphah
'ysh, ʾysh
'yshy, ʾyshy

Total: 1499 words converted
Aleph (ʾ) = word-initial glottal stop
Ayin (ʿ) = mid/final-word pharyngeal fricative
