Fixed Word                               Original Word                  File                                                              Page   Method
shawaʾ                                   shawa’                         YY-s04v04-Coming Home-Basar-Herald.docx                           553    hebrew-pattern
Shaʿa                                    Sha’a                          YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     108    heuristic
shaʿa                                    sha’a                          YY-s06v01-Twistianity-Appalling.docx                              374    heuristic
shaʾab                                   sha’ab                         YY-s03v04-Observations-Teaching.docx                              373    hebrew-pattern
shaʿalowb                                sha’alowb                      YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   404    heuristic
shaʾar                                   sha’ar                         YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     387    hebrew-pattern
shaʿarym                                 sha’arym                       YY-s05v03-Babel-Chemah-Venomous.docx                              337    hebrew-pattern
shaʾawah                                 sha’awah                       YY-s03v03-Observations-Growing.docx                               379    hebrew-pattern
shaʾer                                   sha’er                         YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
shaʾeryth                                sha’eryth                      YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     181    hebrew-pattern
shaʾgah                                  sha’gah                        YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  297    hebrew-pattern
shaʾor                                   sha’or                         YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
shaʿowm                                  sha’owm                        YY-s02v07-Yada Yahowah-Shanah-Years.docx                          307    heuristic
Shaʿowm                                  Sha’owm                        YY-s02v07-Yada Yahowah-Shanah-Years.docx                          307    heuristic
shaʿshuwaʿym                             sha’shuwa’ym                   YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     119    hebrew-pattern
Shebaʾ                                   Sheba’                         YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   277    hebrew-pattern
shebaʾ                                   sheba’                         YY-s02v07-Yada Yahowah-Shanah-Years.docx                          177    hebrew-pattern
Shebuwaʿah                               Shebuwa’ah                     YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                348    hebrew-pattern
shewaʾ                                   shewa’                         YY-s04v02-Coming Home-Mashyach-Messiah.docx                       188    hebrew-pattern
shibaʿah                                 shiba’ah                       YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     hebrew-pattern
Shibʿah                                  Shib’ah                        YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     hebrew-pattern
shibʿiym                                 shib’iym                       YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  269    hebrew-pattern
Shimʿiy                                  Shim’iy                        YY-s05v03-Babel-Chemah-Venomous.docx                              268    hebrew-pattern
Shimʿown                                 Shim’own                       YY-s05v03-Babel-Chemah-Venomous.docx                              474    hebrew-pattern
showaʾ                                   showa’                         YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     59     hebrew-pattern
showeʾ                                   showe’                         YY-s01v02-An Intro to God-Mitswah-Instructions.docx               37     hebrew-pattern
shuwaʿah                                 shuwa’ah                       YY-s02v07-Yada Yahowah-Shanah-Years.docx                          195    hebrew-pattern
shuweʾ                                   shuwe’                         YY-s01v02-An Intro to God-Mitswah-Instructions.docx               37     hebrew-pattern
simoʿwl                                  simo’wl                        YY-s04v04-Coming Home-Basar-Herald.docx                           401    heuristic
t-nabaʾ                                  t-naba’                        YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     240    blb
t-ʾanah                                  t-‘anah                        YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     241    blb
Tabaʿrah                                 Taba’rah                       YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           361    hebrew-pattern
tabuwaʾah                                tabuwa’ah                      YY-s05v03-Babel-Chemah-Venomous.docx                              468    hebrew-pattern
Tabʿerah                                 Tab’erah                       YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           358    hebrew-pattern
tanuwaʾah                                tanuwa’ah                      YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           459    hebrew-pattern
taraʿ                                    tara’                          YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     blb
Taruwʿah                                 Taruw’ah                       YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           365    hebrew-pattern
taʾabah                                  ta’abah                        YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     41     hebrew-pattern
taʾowah                                  ta’owah                        YY-s04v02-Coming Home-Mashyach-Messiah.docx                       399    hebrew-pattern
Tebuwʾah                                 Tebuw’ah                       YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                348    hebrew-pattern
teʿteʾ                                   te’te’                         YY-s03v04-Observations-Teaching.docx                              485    heuristic
thaʾar                                   tha’ar                         YY-s03v05-Observations-Understanding.docx                         179    hebrew-pattern
theshaʿ                                  thesha’                        YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           75     hebrew-pattern
theshaʿym                                thesha’ym                      YY-s05v03-Babel-Chemah-Venomous.docx                              360    hebrew-pattern
tiphʾarah                                tiph’arah                      YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     hebrew-pattern
towtsaʾowth                              towtsa’owth                    YY-s05v03-Babel-Chemah-Venomous.docx                              474    hebrew-pattern
tsalaʿ                                   tsala’                         YY-s04v04-Coming Home-Basar-Herald.docx                           45     hebrew-pattern
tsamaʾ                                   tsama’                         YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     423    hebrew-pattern
tsameʾ                                   tsame’                         YY-s01v02-An Intro to God-Mitswah-Instructions.docx               355    hebrew-pattern
tsaphardeaʿ                              tsaphardea’                    YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  107    hebrew-pattern
tsawʾr                                   tsaw’r                         YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
tsaʿown                                  tsa’own                        YY-s03v03-Observations-Growing.docx                               472    heuristic
tselaʿ                                   tsela’                         YY-s04v04-Coming Home-Basar-Herald.docx                           50     hebrew-pattern
tseʿetsaʾ                                tse’etsa’                      YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     heuristic
tseʾetsaʾym                              tse’etsa’ym                    YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     440    hebrew-pattern
tseʾtsaʾym                               tse’tsa’ym                     YY-s02v07-Yada Yahowah-Shanah-Years.docx                          573    hebrew-pattern
tsowneʾ                                  tsowne’                        YY-s03v01-Observations-Perspective.docx                           330    heuristic
tsoʾn                                    tso’n                          YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
tsʿad                                    ts’ad                          YY-s02v07-Yada Yahowah-Shanah-Years.docx                          198    hebrew-pattern
tumʾah                                   tum’ah                         YY-s04v04-Coming Home-Basar-Herald.docx                           412    hebrew-pattern
vʿtzivanu                                v'tzivanu                      YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     388    heuristic
wa-shaʾar                                wa-sha’ar                      YY-s04v04-Coming Home-Basar-Herald.docx                           133    hebrew-pattern
wyqaraʾ                                  wyqara’                        YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     heuristic
wʿshbʿty                                 w’shb’ty                       YY-s04v03-Coming Home-Dowd-Beloved.docx                           375    heuristic
Yadaʿ                                    Yada’                          YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      172    blb
yadaʿ                                    yada’                          YY-s04v04-Coming Home-Basar-Herald.docx                           13     blb
Yahowaʾchaz                              Yahowa’chaz                    YY-s03v05-Observations-Understanding.docx                         173    hebrew-pattern
Yahowyadaʿ                               Yahowyada’                     YY-s03v03-Observations-Growing.docx                               493    hebrew-pattern
yareʾ                                    yare’                          YY-s04v04-Coming Home-Basar-Herald.docx                           78     blb
yariʾah                                  yari’ah                        YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                104    hebrew-pattern
yaryʿowth                                yary’owth                      YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
yarʾah                                   yar’ah                         YY-s04v03-Coming Home-Dowd-Beloved.docx                           298    hebrew-pattern
Yashaʿyah                                Yasha’yah                      YY-s03v05-Observations-Understanding.docx                         382    hebrew-pattern
yashuwaʿah                               yashuwa’ah                     YY-s04v04-Coming Home-Basar-Herald.docx                           532    hebrew-pattern
Yashuwʿah                                Yashuw’ah                      YY-s04v04-Coming Home-Basar-Herald.docx                           150    hebrew-pattern
yashuwʿah                                yashuw’ah                      YY-s06v04-Twistianity-Incredible.docx                             348    hebrew-pattern
Yatsaʾ                                   Yatsa’                         YY-s01v02-An Intro to God-Mitswah-Instructions.docx               1      hebrew-pattern
yatsaʾ                                   yatsa’                         YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  411    hebrew-pattern
yatsuwaʿ                                 yatsuwa’                       YY-s01v02-An Intro to God-Mitswah-Instructions.docx               72     hebrew-pattern
yaʾal                                    ya’al                          YY-s04v04-Coming Home-Basar-Herald.docx                           197    blb
yaʿar                                    ya’ar                          YY-s06v04-Twistianity-Incredible.docx                             34     blb
yaʿats                                   ya’ats                         YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     190    hebrew-pattern
yaʾor                                    ya’or                          YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  106    hebrew-pattern
Yigʾal                                   Yig’al                         YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           427    blb
yiphaʿah                                 yipha’ah                       YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                131    hebrew-pattern
yirmaʾ                                   yirma’                         YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                104    heuristic
Yowchaʾ                                  Yowcha’                        YY-s02v07-Yada Yahowah-Shanah-Years.docx                          38     hebrew-pattern
Yowʿed                                   Yow’ed                         YY-s02v07-Yada Yahowah-Shanah-Years.docx                          38     hebrew-pattern
yowʿets                                  yow’ets                        YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     432    heuristic
yoʿes                                    yo’es                          YY-s03v04-Observations-Teaching.docx                              145    heuristic
yrʾah                                    yr’ah                          YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   263    hebrew-pattern
Yshmaʿʾel                                Yshma’ʾel                      YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   279    hebrew-pattern
Yzraʿʾel                                 Yzra’ʾel                       YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      47     hebrew-pattern
yzraʿʾel                                 yzra’ʾel                       YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      49     hebrew-pattern
yʾathown                                 y‘athown                       YY-s05v03-Babel-Chemah-Venomous.docx                              335    hebrew-pattern
zaraʾ                                    zara’                          YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           377    blb
Zarowaʿ                                  Zarowa’                        YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     hebrew-pattern
zarowaʿ                                  zarowa’                        YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  411    hebrew-pattern
Zarowʿa                                  Zarow’a                        YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   351    hebrew-pattern
zaʿam                                    za’am                          YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           212    hebrew-pattern
zeraʿ                                    zera’                          YY-s04v04-Coming Home-Basar-Herald.docx                           396    blb
zeʿyet                                   ze’yet                         YY-s03v05-Observations-Understanding.docx                         255    heuristic
zoʾth                                    zo’th                          YY-s04v04-Coming Home-Basar-Herald.docx                           50     hebrew-pattern
zoʾth                                    zo’th                          YY-s04v04-Coming Home-Basar-Herald.docx                           478    hebrew-pattern
ʾabaʿ                                    ʾaba’                          YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     heuristic
ʾAbynoʿam                                ʾAbyno’am                      YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      65     hebrew-pattern
ʾAchʾab                                  ʾAch‘ab                        YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      41     hebrew-pattern
ʿalaʿ                                    ʾala’                          YY-s05v01-Babel-Chywah-Beast.docx                                 36     blb
ʾanachnuwʾ                               ʾanachnuw’                     YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  411    heuristic
ʾanaʾ                                    ʾana’                          YY-s04v03-Coming Home-Dowd-Beloved.docx                           361    blb
ʾaphʿaph                                 ʾaph’aph                       YY-s03v01-Observations-Perspective.docx                           42     heuristic
ʿaphʿaphym                               ʾaph’aphym                     YY-s01v02-An Intro to God-Mitswah-Instructions.docx               532    hebrew-pattern
ʾarabaʿ                                  ʾaraba’                        YY-s03v02-Observations-Covenant.docx                              37     hebrew-pattern
ʾarbaʿ                                   ʾarba’                         YY-s03v02-Observations-Covenant.docx                              80     blb
ʾarbaʿah                                 ʾarba’ah                       YY-s05v02-Babel-Tow'ebah-Abominable.docx                          125    heuristic
ʾArbeʿl                                  ʾArbe’l                        YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      311    heuristic
ʿarowʿer                                 ʾarow’er                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾasherʿerets                             ʾasher‘erets                   YY-s03v05-Observations-Understanding.docx                         448    heuristic
ʾelʿary                                  ʾel‘ary                        YY-s05v03-Babel-Chemah-Venomous.docx                              388    heuristic
ʾelʿazar                                 ʾel‘azar                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     blb
ʾElʿAzar                                 ʾEl‘Azar                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     blb
ʾElʿaleh                                 ʾEl’aleh                       YY-s03v05-Observations-Understanding.docx                         205    heuristic
ʾEsaʿow                                  ʾEsa’ow                        YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      339    heuristic
ʾEthbaʿal                                ʾEthba’al                      YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      71     hebrew-pattern
ʾeythanʿs                                ʾeythan’s                      YY-s04v04-Coming Home-Basar-Herald.docx                           473    heuristic
ʾarbaʿʿ                                  ʿarbaʿ’                        YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           109    heuristic
ʾabad                                    ‘abad                          YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   308    blb
ʾabar                                    ‘abar                          YY-s01v02-An Intro to God-Mitswah-Instructions.docx               252    blb
ʾabatyach                                ‘abatyach                      YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           363    heuristic
ʾAbel-Machowlah                          ‘Abel-Machowlah                YY-s03v04-Observations-Teaching.docx                              136    blb
ʾabnet                                   ‘abnet                         YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       30     blb
ʾabodah                                  ‘abodah                        YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾabowth                                  ‘abowth                        YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   360    heuristic
ʾAbraam                                  ‘Abraam                        YY-s06v02-Twistianity-Towrahless.docx                             1      hebrew-pattern
ʾaby                                     ‘aby                           YY-s01v02-An Intro to God-Mitswah-Instructions.docx               410    spelling
ʾabyb                                    ‘abyb                          YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  118    hebrew-pattern
ʾAbygayl                                 ‘Abygayl                       YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     hebrew-pattern
ʾAbyʿezer                                ‘Aby’ezer                      YY-s03v04-Observations-Teaching.docx                              121    hebrew-pattern
ʾach                                     ‘ach                           YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       28     hebrew-pattern
ʾachar                                   ‘achar                         YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      35     hebrew-pattern
ʾachazath                                ‘achazath                      YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     82     hebrew-pattern
ʾAchazʾ                                  ‘Achaz’                        YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   332    heuristic
ʾachbar                                  ‘achbar                        YY-s03v05-Observations-Understanding.docx                         352    heuristic
ʾacher                                   ‘acher                         YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                332    hebrew-pattern
ʾachuzah                                 ‘achuzah                       YY-s05v03-Babel-Chemah-Venomous.docx                              446    hebrew-pattern
ʾAchyman                                 ‘Achyman                       YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           435    hebrew-pattern
ʾAchymelek                               ‘Achymelek                     YY-s03v04-Observations-Teaching.docx                              261    hebrew-pattern
ʾAchʾab                                  ‘Ach‘ab                        YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾact-ch’ll’                              ‘act-ch’ll’                    YY-s06v03-Twistianity-Devils Advocate.docx                        1      hebrew-pattern
ʾadad                                    ‘adad                          YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   162    blb
ʿadah                                    ‘adah                          YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           105    hebrew-pattern
ʾadam                                    ‘adam                          YY-s01v02-An Intro to God-Mitswah-Instructions.docx               258    blb
ʾadamah                                  ‘adamah                        YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     470    hebrew-pattern
ʾadar                                    ‘adar                          YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     blb
ʾadem                                    ‘adem                          YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     hebrew-pattern
ʾaderth                                  ‘aderth                        YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   181    hebrew-pattern
ʾadon                                    ‘adon                          YY-s01v02-An Intro to God-Mitswah-Instructions.docx               211    blb
ʾAdon                                    ‘Adon                          YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     blb
ʾadonay                                  ‘adonay                        YY-s01v02-An Intro to God-Mitswah-Instructions.docx               211    blb
ʾAdony                                   ‘Adony                         YY-s05v02-Babel-Tow'ebah-Abominable.docx                          147    hebrew-pattern
ʾadony                                   ‘adony                         YY-s05v03-Babel-Chemah-Venomous.docx                              138    hebrew-pattern
ʾadowm                                   ‘adowm                         YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   236    heuristic
ʾadown                                   ‘adown                         YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  186    hebrew-pattern
ʾadownyʾ                                 ‘adowny’                       YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           513    heuristic
ʾahab                                    ‘ahab                          YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   218    blb
ʾahal                                    ‘ahal                          YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           142    blb
ʾahaz                                    ‘ahaz                          YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   332    blb
ʾakal                                    ‘akal                          YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  42     blb
ʿAkowr                                   ‘Akowr                         YY-s04v02-Coming Home-Mashyach-Messiah.docx                       125    hebrew-pattern
ʾakylah                                  ‘akylah                        YY-s03v04-Observations-Teaching.docx                              39     hebrew-pattern
ʾal                                      ‘al                            YY-s04v04-Coming Home-Basar-Herald.docx                           110    spelling
ʾalah                                    ‘alah                          YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      299    blb
ʾalam                                    ‘alam                          YY-s04v03-Coming Home-Dowd-Beloved.docx                           8      blb
ʾalmanah                                 ‘almanah                       YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   290    hebrew-pattern
ʾalmanuwth                               ‘almanuwth                     YY-s04v04-Coming Home-Basar-Herald.docx                           404    hebrew-pattern
ʾalyl                                    ‘alyl                          YY-s03v01-Observations-Perspective.docx                           576    hebrew-pattern
ʾam                                      ‘am                            YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      36     spelling
ʿamad                                    ‘amad                          YY-s03v01-Observations-Perspective.docx                           171    blb
ʾamahowth                                ‘amahowth                      YY-s05v03-Babel-Chemah-Venomous.docx                              353    heuristic
ʾaman                                    ‘aman                          YY-s03v01-Observations-Perspective.docx                           536    blb
ʾAmanah                                  ‘Amanah                        YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                350    hebrew-pattern
ʾamar                                    ‘amar                          YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  86     blb
ʿamas                                    ‘amas                          YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   146    blb
ʾAmelek                                  ‘Amelek                        YY-s03v03-Observations-Growing.docx                               359    heuristic
ʿAmleq                                   ‘Amleq                         YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           149    hebrew-pattern
ʾamnah                                   ‘amnah                         YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   264    hebrew-pattern
ʾamyr                                    ‘amyr                          YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾAmyr                                    ‘Amyr                          YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʿamyth                                   ‘amyth                         YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   187    hebrew-pattern
ʿAmyʾel                                  ‘Amyʾel                        YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           428    hebrew-pattern
ʾanah                                    ‘anah                          YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     125    blb
ʾanahnu                                  ‘anahnu                        YY-s03v04-Observations-Teaching.docx                              450    blb
ʿanan                                    ‘anan                          YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   331    spelling
ʾananuw                                  ‘ananuw                        YY-s03v05-Observations-Understanding.docx                         57     heuristic
ʾAnan~Zanah~Sheqer                       ‘Anan~Zanah~Sheqer             YY-s04v04-Coming Home-Basar-Herald.docx                           211    heuristic
ʾanaph                                   ‘anaph                         YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     532    hebrew-pattern
ʾanaʾ                                    ‘anaʿ                          YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   430    blb
ʾanoky                                   ‘anoky                         YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                156    hebrew-pattern
ʾanowky                                  ‘anowky                        YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           371    heuristic
ʾanowsh                                  ‘anowsh                        YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     hebrew-pattern
ʾaph                                     ‘aph                           YY-s04v04-Coming Home-Basar-Herald.docx                           311    hebrew-pattern
ʾaphaph                                  ‘aphaph                        YY-s02v07-Yada Yahowah-Shanah-Years.docx                          195    hebrew-pattern
ʾaphaq                                   ‘aphaq                         YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾaphar                                   ‘aphar                         YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           61     hebrew-pattern
ʿaphaʿphym                               ‘apha’phym                     YY-s04v02-Coming Home-Mashyach-Messiah.docx                       42     hebrew-pattern
ʿaqab                                    ‘aqab                          YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     480    blb
ʾarabaʿ                                  ‘araba’                        YY-s02v07-Yada Yahowah-Shanah-Years.docx                          56     hebrew-pattern
ʾAraby                                   ‘Araby                         YY-s03v04-Observations-Teaching.docx                              416    hebrew-pattern
ʾarach                                   ‘arach                         YY-s01v02-An Intro to God-Mitswah-Instructions.docx               214    hebrew-pattern
ʾaras                                    ‘aras                          YY-s04v02-Coming Home-Mashyach-Messiah.docx                       131    blb
ʾarayeh                                  ‘arayeh                        YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  330    hebrew-pattern
ʾarbaʿ                                   ‘arbaʾ                         YY-s05v01-Babel-Chywah-Beast.docx                                 265    blb
ʿareb                                    ‘areb                          YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           661    blb
ʾarowd                                   ‘arowd                         YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾArown                                   ‘Arown                         YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           609    hebrew-pattern
ʾArownyah                                ‘Arownyah                      YY-s01v02-An Intro to God-Mitswah-Instructions.docx               214    heuristic
ʿArowʿer                                 ‘Arow’er                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʿarowʿer                                 ‘arow’er                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾaruwmah                                 ‘aruwmah                       YY-s01v02-An Intro to God-Mitswah-Instructions.docx               214    hebrew-pattern
ʿaruwts                                  ‘aruwts                        YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾArydathaʾ                               ‘Arydatha’                     YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  330    hebrew-pattern
ʿarysah                                  ‘arysah                        YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           472    hebrew-pattern
ʿasab                                    ‘asab                          YY-s04v04-Coming Home-Basar-Herald.docx                           28     blb
ʾasah                                    ‘asah                          YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     481    heuristic
ʾasam                                    ‘asam                          YY-s01v02-An Intro to God-Mitswah-Instructions.docx               494    blb
ʿasan                                    ‘asan                          YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     blb
ʾasar                                    ‘asar                          YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                301    blb
ʾasephah                                 ‘asephah                       YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           137    hebrew-pattern
ʾasereh                                  ‘asereh                        YY-s05v03-Babel-Chemah-Venomous.docx                              315    heuristic
ʾash                                     ‘ash                           YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾasham                                   ‘asham                         YY-s04v04-Coming Home-Basar-Herald.docx                           112    hebrew-pattern
ʿashaq                                   ‘ashaq                         YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     185    hebrew-pattern
ʾasher                                   ‘asher                         YY-s05v02-Babel-Tow'ebah-Abominable.docx                          34     hebrew-pattern
ʾAsherahs                                ‘Asherahs                      YY-s03v05-Observations-Understanding.docx                         341    heuristic
ʾashmah                                  ‘ashmah                        YY-s02v07-Yada Yahowah-Shanah-Years.docx                          160    hebrew-pattern
ʾashphah                                 ‘ashphah                       YY-s06v04-Twistianity-Incredible.docx                             372    hebrew-pattern
ʾAshtarts                                ‘Ashtarts                      YY-s03v01-Observations-Perspective.docx                           205    heuristic
ʿAshtoreth                               ‘Ashtoreth                     YY-s03v02-Observations-Covenant.docx                              60     hebrew-pattern
ʿashyr                                   ‘ashyr                         YY-s04v04-Coming Home-Basar-Herald.docx                           305    hebrew-pattern
ʾashyshah                                ‘ashyshah                      YY-s04v02-Coming Home-Mashyach-Messiah.docx                       137    hebrew-pattern
ʿasluwth                                 ‘asluwth                       YY-s04v04-Coming Home-Basar-Herald.docx                           379    heuristic
ʾasuwq                                   ‘asuwq                         YY-s03v01-Observations-Perspective.docx                           258    heuristic
ʿasys                                    ‘asys                          YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾat                                      ‘at                            YY-s03v04-Observations-Teaching.docx                              496    blb
ʾatah                                    ‘atah                          YY-s04v04-Coming Home-Basar-Herald.docx                           336    hebrew-pattern
ʾAtah                                    ‘Atah                          YY-s04v04-Coming Home-Basar-Herald.docx                           347    hebrew-pattern
ʿataq                                    ‘ataq                          YY-s04v02-Coming Home-Mashyach-Messiah.docx                       110    blb
ʿatarah                                  ‘atarah                        YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           522    hebrew-pattern
