Original, Converted (Definition-Refined)
qow', qowʿ
qowa', qowaʿ
qowba', qowbaʿ
ra', raʿ
ra'a, raʿa
ra'a', raʾaʾ
ra'ab, raʿab
ra'ad, raʿad
ra'ah, raʿah
ra'ahwah, raʿahwah
ra'ahy, raʿahy
ra'ahym, raʿahym
ra'al, raʿal
ra'alah, raʿalah
ra'am, raʾam
ra'ameses, raʿameses
ra'anan, raʾanan
ra'as, raʿas
ra'ash, raʿash
ra'ats, raʿats
ra'eb, raʾeb
ra'mah, raʿmah
ra'mases, raʿmases
ra'mowth, raʿmowth
ra'uw, raʿuw
ra'uwben, raʿuwben
ra'y, raʿy
ra'ym, raʿym
raba', rabaʿ
raby'ay, rabyʿay
raby'iy, rabyʿiy
raby'y, rabyʿy
rabya'y, rabyaʿy
rabyi'y, rabyiʿy
raga', ragaʿ
rapha', raphaʾ
rapha'ym, raphaʾym
raphuwa'ah, raphuwaʿah
raqa', raqaʿ
raqya', raqyaʿ
rasa', rasaʿ
rasa'ym, rasaʿym
rasha', rashaʿ
rasha'ah, rashaʾah
ratsa', ratsaʿ
re'sh, reʿsh
re'shown, reʿshown
re'shyth, reʿshyth
re'syth, reʿsyth
rea', reaʾ
reba', rebaʿ
rega', regaʿ
repha'ym, rephaʿym
resha', reshaʿ
ri'shah, riʿshah
ri'shown, riʿshown
ribow', ribowʿ
ribowa', ribowaʿ
riph'uwth, riphʿuwth
risha'ah, rishaʿah
ro'sh, roʾsh
ro'shy, roʿshy
roa', roaʿ
ruwa', ruwaʿ
ry'ach, ryʿach
sa'ad, saʿad
sa'ahym, saʿahym
sa'an, saʿan
sa'aph, saʿaph
sa'ar, saʾar
sa'arah, saʿarah
sa'eth, saʿeth
sa'or, saʿor
sa'orah, saʿorah
sa'own, saʿown
sa'yph, saʿyph
sa'yr, saʿyr
sab'ah, sabʿah
saba', sabaʾ
saba'ah, sabaʿah
sagyi', sagyiʿ
sai'phym, saiʿphym
sama'l, samaʿl
sama'ly, samaʿly
same', sameʿ
samo'l, samoʿl
samow'el, samowʿel
samow'l, samowʿl
sana', sanaʿ
sane', saneʾ
se'ah, seʿah
se'ar, seʿar
se'eph, seʿeph
se'er, seʿer
se'iyr, seʿiyr
se'or, seʾor
se'yr, seʿyr
sela', selaʿ
sh'at, shʿat
sha', shaʿ
sha'a', shaʿaʿ
sha'ag, shaʿag
sha'agah, shaʿagah
sha'ah, shaʿah
sha'al, shaʿal
sha'al'owb, shaʿalʿowb
sha'alty'el, shaʿaltyʿel
sha'an, shaʿan
sha'aph, shaʿaph
sha'ar, shaʿar
sha'aruwr, shaʿaruwr
sha'aruwrah, shaʿaruwrah
sha'ary, shaʿary
sha'arym, shaʿarym
sha'at, shaʿat
sha'eryth, shaʿeryth
sha'own, shaʿown
sha'r, shaʿr
sha'ryth, shaʿryth
sha'sha', shaʿshaʿ
sha'sha'ym, shaʿshaʿym
sha'shuwa', shaʿshuwaʿ
sha'uwl, shaʿuwl
sha'uwl's, shaʿuwlʿs
shaba', shabaʿ
shabi'ym, shabiʿym
shabiy'iy, shabiyʿiy
shabuw'ah, shabuwʿah
shabuwa', shabuwaʿ
shabuwa'ym, shabuwaʿym
shaby'iy, shabyʿiy
shaby'y, shabyʿy
shabyi'y, shabyiʿy
shaga', shagaʾ
shagya'ah, shagyaʿah
shakal'ath, shakalʿath
shama', shamaʿ
shamuw'ah, shamuwʿah
shamuw'el, shamuwʿel
shamuwa'ah, shamuwaʿah
shana', shanaʿ
shaqa', shaqaʿ
shar'ar, sharʿar
shatha', shathaʿ
shav', shavʾ
shaw'ah, shawʿah
shawa', shawaʾ
she'owl, sheʿowl
she'own, sheʿown
sheba', shebaʿ
sheba'ah, shebaʿah
sheba'athym, shebaʿathym
sheby'iy, shebyʿiy
shema', shemaʿ
shemuwa'ah, shemuwaʿah
shena', shenaʿ
shib'ath, shibʿath
shib'athaym, shibʿathaym
shib'athym, shibʿathym
shib'iym, shibʿiym
shiba'ah, shibaʿah
shibi'ym, shibiʿym
shiga'own, shigaʾown
shim'own, shimʿown
shimi'y, shimiʿy
shin'ar, shinʿar
shipha'ah, shiphaʿah
sho'al, shoʿal
show', showʿ
show'a, showʿa
showa', showaʾ
showa'ah, showaʿah
shuwa', shuwaʿ
shuwa'al, shuwaʿal
siba'ah, sibaʿah
sina'ah, sinaʿah
sisera', siseraʿ
soba', sobaʿ
sobe', sobeʿ
sow'er, sowʿer
sowpha', sowphaʿ
strong's, strongʿs
sysara', sysaraʿ
ta', taʿ
ta'ab, taʿab
ta'ah, taʿah
ta'alah, taʿalah
ta'aluwl, taʿaluwl
ta'am, taʿam
ta'an, taʿan
ta'ar, taʿar
ta'ashar, taʿashar
ta'awah, taʿawah
ta'enah, taʿenah
ta'nyah, taʿnyah
ta'owth, taʿowth
ta'unym, taʿunym
ta'uwah, taʿuwah
ta'uwdah, taʿuwdah
ta'ym, taʿym
taba', tabaʿ
taba'ath, tabaʿath
taba'el, tabaʿel
tabuw'ah, tabuwʿah
tachalu'ym, tachaluʿym
tal'ubowt, talʿubowt
tala', talaʿ
tala'ym, talaʿym
tame', tameʿ
taqa', taqaʿ
taqowa', taqowaʿ
tar'elah, tarʿelah
taruw'ah, taruwʿah
taruwa'ah, taruwaʿah
tashu'ah, tashuʿah
tashuw'ah, tashuwʿah
tashuwa'ah, tashuwaʿah
tashy'iy, tashyʿiy
tesha', teshaʿ
tesha'ym, teshaʿym
thesha', theshaʿ
tiba'el, tibaʿel
tip'eret, tipʿeret
tiph'arah, tiphʿarah
tiph'areth, tiphʿareth
tiph'arth, tiphʿarth
tiph'ereth, tiphʿereth
tiph'erth, tiphʿerth
tipha'rath, tiphaʿrath
tiphe'reth, tipheʿreth
tish'iym, tishʿiym
to'ar, toʿar
tow'ah, towʿah
tow'eah, towʿeah
tow'ebah, towʾebah
towe'bah, toweʿbah
towla'ah, towlaʿah
towla'ch, towlaʿch
towle'ah, towleʾah
towrah's, towrahʿs
towta'photh, towtaʿphoth
towtsa'owth, towtsaʿowth
ts'ayr, tsʿayr
ts'on, tsʿon
tsa'ad, tsaʿad
tsa'ah, tsaʿah
tsa'aq, tsaʾaq
tsa'aqah, tsaʿaqah
tsa'ar, tsaʿar
tsa'dah, tsaʿdah
tsa'yr, tsaʿyr
tsaba', tsabaʿ
tsabo'ym, tsaboʿym
tsalmuna', tsalmunaʿ
tsama', tsamaʿ
tsame', tsameʿ
tsapha', tsaphaʿ
tsara', tsaraʿ
tsara'ath, tsaraʿath
tsawa'r, tsawaʿr
tse'ah, tseʿah
tse'aqah, tseʿaqah
tseba', tsebaʿ
tsela', tselaʿ
tsela'owth, tselaʿowth
tsepha', tsephaʿ
tsiph'ony, tsiphʿony
tsira', tsiraʿ
tso'ah, tsoʾah
tso'an, tsoʿan
tso'ar, tsoʿar
tso'n, tsoʿn
tsow'iym, tsowʿiym
tsuw'ar, tsuwʿar
tuma'ah, tumaʿah
wa'eth, waʿeth
y'athuwn, yʿathuwn
ya'ab, yaʿab
ya'ad, yaʿad
ya'an, yaʿan
ya'anah, yaʿanah
ya'aph, yaʿaph
ya'aqob, yaʿaqob
ya'ar, yaʿar
ya'arym, yaʿarym
ya'as, yaʿas
ya'ath, yaʿath
ya'ats, yaʿats
ya'ay, yaʿay
ya'az, yaʿaz
ya'azanyah, yaʿazanyah
ya'azyr, yaʿazyr
ya'el, yaʿel
ya'ep, yaʿep
ya'eph, yaʾeph
ya'or, yaʿor
ya'ory, yaʿory
ya'orym, yaʿorym
yachezq'el, yachezqʿel
yada'ony, yadaʿony
yada's, yadaʿs
yada'yah, yadaʿyah
yaga', yagaʿ
yagya', yagyaʿ
yahow'ash, yahowʿash
yahowsha', yahowshaʿ
yahowshuwa', yahowshuwaʿ
yahuw', yahuwʿ
yahuw'ash, yahuwʿash
yala', yalaʿ
yaqa', yaqaʿ
yar'ah, yarʿah
yara', yaraʿ
yarab'am, yarabʿam
yarob'am, yarobʿam
yarya'ah, yaryaʿah
yasha', yashaʿ
yasha'yah, yashaʿyah
yasha'yahuw, yashaʿyahuw
yashuw'ah, yashuwʿah
yashuwa'ah, yashuwaʿah
yasta', yastaʿ
yatsa', yatsaʾ
ya}howsha', ya}howshaʿ
yba'al, ybaʿal
ye'or, yeʿor
yegya', yegyaʿ
yesha', yeshaʿ
yeshuwa'ah, yeshuwaʿah
yeza', yezaʿ
yida'ony, yidaʿony
yir'ah, yirʿah
yira'ah, yiraʿah
yira'th, yiraʿth
yirma'yah, yirmaʿyah
yirma'yahuw, yirmaʿyahuw
yisra'el, yisraʿel
yo'shyah, yoʿshyah
yophya', yophyaʿ
yow'ab, yowʿab
yow'ash, yowʿash
yow'el, yowʿel
yow'ets, yowʿets
yowe'ts, yoweʿts
yr'ah, yrʿah
yshma''el, yshmaʿʿel
yshma''elym, yshmaʿʿelym
yzra''el, yzraʿʿel
z'oth, zʿoth
za'am, zaʿam
za'aq, zaʿaq
za'aqah, zaʿaqah
za'awah, zaʿawah
za'eb, zaʿeb
za'ed, zaʿed
za'eyr, zaʿeyr
za'q, zaʿq
zal'aphah, zalʿaphah
zara', zaraʿ
zarowa', zarowaʿ
zarowa'owth, zarowaʿowth
ze'ah, zeʿah
ze'aqah, zeʿaqah
ze'eb, zeʿeb
ze'th, zeʿth
zera', zeraʿ
zuwa', zuwaʿ

================================================================================
REFINEMENT ANALYSIS
================================================================================

Total words analyzed: 1539
Words with definition-based corrections: 57

Corrections from simple rule:
--------------------------------------------------------------------------------

'ab'atem
  Simple:  ʾabʿatem
  Refined: ʾabʾatem
  Scores:  Ayin=0, Aleph=1

'abraham's
  Simple:  ʾabrahamʿs
  Refined: ʾabrahamʾs
  Scores:  Ayin=0, Aleph=1

ba'ar
  Simple:  baʿar
  Refined: baʾar
  Scores:  Ayin=0, Aleph=1
  YY: as an expression of freewill, you can purge that which should no longer exist (scribed in the piel s...

barya'ah
  Simple:  baryaʿah
  Refined: baryaʾah
  Scores:  Ayin=0, Aleph=1
  YY: is recently created and synthesized, fabricated and novel, comprised of circumstances and conditions...

betsa'
  Simple:  betsaʿ
  Refined: betsaʾ
  Scores:  Ayin=0, Aleph=1
  YY: being wrong, immorality and injustice, covetousness separating others from God and their possessions...

chaba'
  Simple:  chabaʿ
  Refined: chabaʾ
  Scores:  Ayin=0, Aleph=1
  YY: I moved away and hid, I retreated so as not to be discovered because I had withdrawn from someone I ...

gada'
  Simple:  gadaʿ
  Refined: gadaʾ
  Scores:  Ayin=1, Aleph=2
  YY: for having estranged many, you have been felled and have fallen, severed for what has been done, and...

gara'
  Simple:  garaʿ
  Refined: garaʾ
  Scores:  Ayin=0, Aleph=1
  YY: I will no longer exist in your presence, I will be restrained, will be lessened, reduced, and dimini...

gib'ol
  Simple:  gibʿol
  Refined: gibʾol
  Scores:  Ayin=1, Aleph=2
  YY: blossoming and flowering; from the verbal root, gabar, and the noun, geber, which means “a strong ma...

har'el
  Simple:  harʿel
  Refined: harʾel
  Scores:  Ayin=0, Aleph=1
  YY: ?, used only in Ezekiel; from har – mountain and ʾel – god...

ka'asher
  Simple:  kaʿasher
  Refined: kaʾasher
  Scores:  Ayin=0, Aleph=1
  YY: in the same manner and for the point of comparison regarding the narrow path to walk to get the most...

ka'eb
  Simple:  kaʿeb
  Refined: kaʾeb
  Scores:  Ayin=0, Aleph=1
  YY: emotional sorrow and mental suffering, disappointment and disaster...

ma'akal
  Simple:  maʿakal
  Refined: maʾakal
  Scores:  Ayin=0, Aleph=1
  YY: to be butchered and destroyed; from mah – to question and ‘akal – to consume...

ma'akoleth
  Simple:  maʿakoleth
  Refined: maʾakoleth
  Scores:  Ayin=0, Aleph=1
  YY: that which is consumed and destroyed; from ‘akal – to be devoured, eaten up and devastated...

ma'ateh
  Simple:  maʿateh
  Refined: maʾateh
  Scores:  Ayin=0, Aleph=1

mala'kah
  Simple:  malaʿkah
  Refined: malaʾkah
  Scores:  Ayin=1, Aleph=2
  YY: of His Maternal message as conveyed through the prescribed work of the Spirit, His expenditure of en...

mana'
  Simple:  manaʿ
  Refined: manaʾ
  Scores:  Ayin=0, Aleph=1
  YY: are denied and deprived...

miz'ar
  Simple:  mizʿar
  Refined: mizʾar
  Scores:  Ayin=0, Aleph=1
  YY: notably lowly and little (a synonym for Pauline Christians based upon the Latin name Sha’uwl chose f...

na'amanym
  Simple:  naʿamanym
  Refined: naʾamanym
  Scores:  Ayin=1, Aleph=2
  YY: a deliberately distorted epithet for Adonis, meaning Lord (from ‘adony); a pleasant appearing and de...

na'um
  Simple:  naʿum
  Refined: naʾum
  Scores:  Ayin=0, Aleph=2
  YY: of the prophetic declaration of; from na’am – to speak under Divine inspiration and influence as a p...

naby'
  Simple:  nabyʿ
  Refined: nabyʾ
  Scores:  Ayin=1, Aleph=2
  YY: a person who is inspired by Yahowah, who communicates and records the testimony of God, and who is a...

naby'ym
  Simple:  nabyʿym
  Refined: nabyʾym
  Scores:  Ayin=0, Aleph=1
  YY: were inspired by God...

naqa'
  Simple:  naqaʿ
  Refined: naqaʾ
  Scores:  Ayin=0, Aleph=1
  YY: she severed the relationship (qal perfect third-person feminine singular)...

nasa'
  Simple:  nasaʿ
  Refined: nasaʾ
  Scores:  Ayin=0, Aleph=1
  YY: he consistently promotes and carries forward, advancing and lifting up (qal imperfect third-person m...

nasha'
  Simple:  nashaʿ
  Refined: nashaʾ
  Scores:  Ayin=0, Aleph=1
  YY: he consistently promotes and carries forward, advancing and lifting up (qal imperfect third-person m...

nasy'y
  Simple:  nasyʿy
  Refined: nasyʾy
  Scores:  Ayin=0, Aleph=3
  YY: exalted sons of sovereigns, heirs to a throne, the lifted up and carried among tribal chieftains, no...

no'am
  Simple:  noʿam
  Refined: noʾam
  Scores:  Ayin=0, Aleph=1
  YY: the enjoyable nature, beloved character, splendorous beauty, and overall pleasantness...

no'ar
  Simple:  noʿar
  Refined: noʾar
  Scores:  Ayin=0, Aleph=1

no'd
  Simple:  noʿd
  Refined: noʾd
  Scores:  Ayin=0, Aleph=1
  YY: a parchment prepared for writing...

noach's
  Simple:  noachʿs
  Refined: noachʾs
  Scores:  Ayin=0, Aleph=1

pa'am
  Simple:  paʿam
  Refined: paʾam
  Scores:  Ayin=0, Aleph=2
  YY: now influencing the conduct of life by constructing a foundation and raising an edifice to endow mis...

phar'aoh
  Simple:  pharʿaoh
  Refined: pharʾaoh
  Scores:  Ayin=0, Aleph=1
  YY: Pharaoh (this is the earliest and most accurate transliteration of the title Egyptian kings chose fo...

pith'om
  Simple:  pithʿom
  Refined: pithʾom
  Scores:  Ayin=0, Aleph=1
  YY: in an instant and straight away, surprising many...

ra'a'
  Simple:  raʿaʿ
  Refined: raʾaʾ
  Scores:  Ayin=0, Aleph=1
  YY: you are rotten and worthless, misleading frauds (hifil imperfect second-person plural – you are cons...

ra'am
  Simple:  raʿam
  Refined: raʾam
  Scores:  Ayin=0, Aleph=1
  YY: with a loudly spoken declaration...

ra'anan
  Simple:  raʿanan
  Refined: raʾanan
  Scores:  Ayin=0, Aleph=1
  YY: large, notable, verdant, and luxuriant...

ra'eb
  Simple:  raʿeb
  Refined: raʾeb
  Scores:  Ayin=0, Aleph=1
  YY: He decided you would benefit if He developed your appetite (in the hifil stem God brought about thei...

rapha'
  Simple:  raphaʿ
  Refined: raphaʾ
  Scores:  Ayin=0, Aleph=1
  YY: should You choose to cure, mend, repair, or provide recovery (qal imperative second-person masculine...

rapha'ym
  Simple:  raphaʿym
  Refined: raphaʾym
  Scores:  Ayin=0, Aleph=1
  YY: the deceased were mended; from rapha’ – the healed and reconciled...

rasha'ah
  Simple:  rashaʿah
  Refined: rashaʾah
  Scores:  Ayin=0, Aleph=2
  YY: being incongruent with the God’s guidance, guilty of violating God’s directions, invalidated by bein...

rea'
  Simple:  reaʿ
  Refined: reaʾ
  Scores:  Ayin=0, Aleph=1
  YY: your dishonest and decadent country, and those who comprise your troubling social, geographical, rac...

ro'sh
  Simple:  roʿsh
  Refined: roʾsh
  Scores:  Ayin=0, Aleph=1
  YY: their leaders and uttermost objects ruling over them, the foremost things in their lives and in thei...

sa'ar
  Simple:  saʿar
  Refined: saʾar
  Scores:  Ayin=0, Aleph=1
  YY: of blowing wind, of a storm, of being vehemently inflamed, of bristling wrath [from 1QIsa, in the MT...

saba'
  Simple:  sabaʿ
  Refined: sabaʾ
  Scores:  Ayin=0, Aleph=1
  YY: you will be met with an abundance of (the qal perfect indicates that this is completely reliable whi...

sane'
  Simple:  saneʿ
  Refined: saneʾ
  Scores:  Ayin=1, Aleph=2
  YY: those who dislike, showing enmity toward, who detest the mention of, who oppose and do not appreciat...

se'or
  Simple:  seʿor
  Refined: seʾor
  Scores:  Ayin=0, Aleph=1
  YY: the fungus culture in food and drink and fermenting agent which leavens...

shaga'
  Simple:  shagaʿ
  Refined: shagaʾ
  Scores:  Ayin=0, Aleph=1
  YY: is erratic and easily panicked, crazy and delusional, preoccupied with frivolous madness, and driven...

shav'
  Simple:  shavʿ
  Refined: shavʾ
  Scores:  Ayin=0, Aleph=1
  YY: vain, idolatrous, and ruinous, invalid and deliberately dishonest, illusory and misleading, wasteful...

shawa'
  Simple:  shawaʿ
  Refined: shawaʾ
  Scores:  Ayin=0, Aleph=1
  YY: vain, idolatrous, and ruinous, invalid and deliberately dishonest, illusory and misleading, wasteful...

shiga'own
  Simple:  shigaʿown
  Refined: shigaʾown
  Scores:  Ayin=0, Aleph=1
  YY: causing them to be unreliable maniacs who are out of their minds, so furious they are rendered incom...


Score distribution (ayin_score, aleph_score): count
  (0, 0): 1171
  (0, 1): 96
  (0, 2): 14
  (0, 3): 2
  (1, 0): 148
  (1, 1): 39
  (1, 2): 10
  (2, 0): 27
  (2, 1): 11
  (2, 2): 5
  (2, 4): 1
  (2, 5): 1
  (3, 0): 6
  (3, 1): 3
  (3, 2): 1
  (3, 3): 2
  (4, 1): 1
  (5, 0): 1
